Kar	Tanársegéd ÁTLAG	Tanársegéd MEDIÁN	Adjunktus ÁTLAG	Adjunktus MEDIÁN	Docens ÁTLAG	Docens MEDIÁN	Egyetemi_tanár ÁTLAG	Egyetemi_tanár MEDIÁN
ÁJK	410401	402500	527000	466667	654657	598200	1095599	863833
BTK	422470	380000	487041	433333	576453	547700	832621	764100
PPK	425256	382833	533728	510000	664050	612600	912193	830033
TáTK	454855	380000	500070	420000	621414	581295	716544	720800
TTK	509243	462500	634611	541600	650426	565500	922368	801300
IK	715681	699100	812561	780176	1113500	1079213	1190175	1296283
BGGYK	487604	441717	554197	608133	681263	608133	805238	805515
TÓK	415630	405000	462960	445000	639150	630833		
GTK	1068024	1036208	1223116	1240833	1358417	1294167	1752730	1326191
BDPK, Szombathely	439733	383000	425731	429700	532309	526100		
